Date,Open,High,Low,Close,Adj Close
2011-01-03,0.64201,0.64767,0.64201,0.64216,0.64216
2011-01-04,0.64562,0.647,0.63914,0.64559,0.64559
2011-01-05,0.64102,0.647,0.63996,0.64111,0.64111
2011-01-06,0.64462,0.64649,0.64267,0.64466,0.64466
2011-01-07,0.64712,0.64868,0.64189,0.64721,0.64721
2011-01-10,0.64329,0.64607,0.64236,0.6435,0.6435
2011-01-11,0.64142,0.64441,0.64095,0.64144,0.64144
2011-01-12,0.64062,0.6416,0.63715,0.6407,0.6407
2011-01-13,0.63493,0.63593,0.63045,0.63495,0.63495
2011-01-14,0.63116,0.632,0.62942,0.6312,0.6312
2011-01-17,0.62963,0.63139,0.62692,0.62967,0.62967
2011-01-18,0.62904,0.62904,0.62266,0.62893,0.62893
2011-01-19,0.62659,0.62692,0.62356,0.62645,0.62645
2011-01-20,0.62602,0.63098,0.62463,0.62601,0.62601
2011-01-21,0.6285,0.63004,0.62491,0.62854,0.62854
2011-01-24,0.62523,0.62783,0.62484,0.62524,0.62524
2011-01-25,0.62559,0.63456,0.62434,0.62553,0.62553
2011-01-26,0.63207,0.63397,0.62893,0.63211,0.63211
2011-01-27,0.62809,0.62964,0.62527,0.62775,0.62775
2011-01-28,0.62806,0.63176,0.62653,0.62787,0.62787
2011-01-31,0.63182,0.63185,0.62414,0.63174,0.63174
2011-02-01,0.62376,0.62376,0.61939,0.62383,0.62383
2011-02-02,0.61968,0.61996,0.6162,0.61973,0.61973
2011-02-03,0.61704,0.62019,0.61433,0.6171,0.6171
2011-02-04,0.61966,0.62344,0.61831,0.61979,0.61979
2011-02-07,0.62102,0.6213,0.61782,0.62113,0.62113
2011-02-08,0.61996,0.62375,0.61871,0.62,0.62
2011-02-09,0.62252,0.62355,0.62013,0.62242,0.62242
2011-02-10,0.62105,0.62412,0.6207,0.62106,0.62106
2011-02-11,0.62127,0.62621,0.62051,0.62123,0.62123
2011-02-14,0.62463,0.62563,0.62196,0.62488,0.62488
2011-02-15,0.62394,0.6245,0.61854,0.6239,0.6239
2011-02-16,0.61984,0.6252,0.61782,0.61971,0.61971
2011-02-17,0.62131,0.62197,0.61825,0.62139,0.62139
2011-02-18,0.61831,0.61912,0.6155,0.61812,0.61812
2011-02-21,0.61542,0.61693,0.61525,0.61535,0.61535
2011-02-22,0.61614,0.61973,0.61613,0.61622,0.61622
2011-02-23,0.61881,0.61885,0.61463,0.61881,0.61881
2011-02-24,0.61603,0.62143,0.61516,0.61595,0.61595
2011-02-25,0.61941,0.6236,0.61872,0.61941,0.61941
2011-02-28,0.6211,0.62216,0.61459,0.6211,0.6211
2011-03-01,0.61405,0.61512,0.61262,0.61461,0.61461
2011-03-02,0.61485,0.61656,0.61188,0.6149,0.6149
2011-03-03,0.61235,0.61497,0.6122,0.61226,0.61226
2011-03-04,0.6142,0.61585,0.61327,0.61446,0.61446
2011-03-07,0.61475,0.6166,0.61205,0.61469,0.61469
2011-03-08,0.61744,0.61997,0.61685,0.61734,0.61734
2011-03-09,0.6188,0.6195,0.61563,0.61868,0.61868
2011-03-10,0.6171,0.62301,0.61672,0.61728,0.61728
2011-03-11,0.6224,0.6257,0.62193,0.62243,0.62243
2011-03-14,0.6221,0.62383,0.61805,0.62222,0.62222
2011-03-15,0.61818,0.62558,0.61793,0.61835,0.61835
2011-03-16,0.62239,0.62388,0.61989,0.6222,0.6222
2011-03-17,0.62538,0.62548,0.61852,0.62534,0.62534
2011-03-18,0.61923,0.62255,0.6177,0.61945,0.61945
2011-03-21,0.61638,0.61702,0.6138,0.61641,0.61641
2011-03-22,0.61305,0.61366,0.60973,0.61317,0.61317
2011-03-23,0.6111,0.61641,0.61036,0.61124,0.61124
2011-03-24,0.61535,0.61962,0.6147,0.61542,0.61542
2011-03-25,0.6204,0.62286,0.61949,0.62027,0.62027
2011-03-28,0.62466,0.62735,0.62357,0.62484,0.62484
2011-03-29,0.62552,0.62696,0.62334,0.62536,0.62536
2011-03-30,0.62461,0.6257,0.62186,0.62461,0.62461
2011-03-31,0.62224,0.62406,0.61916,0.62212,0.62212
2011-04-01,0.62362,0.62595,0.61993,0.62367,0.62367
2011-04-04,0.62037,0.6205,0.61816,0.62032,0.62032
2011-04-05,0.61988,0.62107,0.61433,0.61994,0.61994
2011-04-06,0.61346,0.61503,0.61113,0.61346,0.61346
2011-04-07,0.61261,0.61474,0.61201,0.61256,0.61256
2011-04-08,0.61274,0.61286,0.60871,0.6127,0.6127
2011-04-11,0.61071,0.61282,0.60883,0.61072,0.61072
2011-04-12,0.61181,0.6161,0.61179,0.61181,0.61181
2011-04-13,0.61511,0.61576,0.6132,0.61512,0.61512
2011-04-14,0.61455,0.61508,0.61058,0.61467,0.61467
2011-04-15,null,null,null,null,null
2011-04-18,0.61275,0.61809,0.61244,0.61297,0.61297
2011-04-19,0.61482,0.61599,0.6122,0.61496,0.61496
2011-04-20,0.61257,0.61286,0.60883,0.61258,0.61258
2011-04-21,0.60997,0.61017,0.60244,0.60995,0.60995
2011-04-22,0.6054,0.60584,0.60372,0.60552,0.60552
2011-04-25,0.60521,0.60716,0.60404,0.60503,0.60503
2011-04-26,0.60591,0.60846,0.60489,0.60599,0.60599
2011-04-27,0.60554,0.60831,0.60317,0.60573,0.60573
2011-04-28,0.60128,0.60145,0.59726,0.6014,0.6014
2011-04-29,0.60064,0.6014,0.59908,0.6006,0.6006
2011-05-02,0.59877,0.6006,0.59747,0.59923,0.59923
2011-05-03,0.60024,0.60713,0.60018,0.60024,0.60024
2011-05-04,0.6062,0.60765,0.60332,0.60619,0.60619
2011-05-05,0.60615,0.60946,0.60438,0.60617,0.60617
2011-05-06,0.61024,0.61132,0.60746,0.61028,0.61028
2011-05-09,0.61176,0.61447,0.6095,0.61132,0.61132
2011-05-10,0.60925,0.61234,0.60901,0.60932,0.60932
2011-05-11,0.6108,0.61173,0.60558,0.61087,0.61087
2011-05-12,0.61094,0.61584,0.61046,0.61097,0.61097
2011-05-13,0.61406,0.61812,0.61324,0.6141,0.6141
2011-05-16,0.6182,0.61858,0.61526,0.6182,0.6182
2011-05-17,0.61698,0.61816,0.61338,0.61693,0.61693
2011-05-18,0.6153,0.62058,0.61388,0.61527,0.61527
2011-05-19,0.61862,0.61989,0.61704,0.61862,0.61862
2011-05-20,0.61618,0.61849,0.61444,0.61607,0.61607
2011-05-23,0.61673,0.6214,0.61603,0.61674,0.61674
2011-05-24,0.62085,0.62243,0.61713,0.62078,0.62078
2011-05-25,0.61789,0.61972,0.6137,0.61786,0.61786
2011-05-26,0.61425,0.61433,0.61077,0.61426,0.61426
2011-05-27,0.61039,0.61043,0.60577,0.6103,0.6103
2011-05-30,0.60583,0.6078,0.60577,0.60565,0.60565
