Date,Open,High,Low,Close,Adj Close
2011-01-03,81.139999,81.709,81.120003,81.123001,81.123001
2011-01-04,81.671997,82.267998,81.599998,81.669998,81.669998
2011-01-05,82.010002,83.32,81.883003,82.038002,82.038002
2011-01-06,83.160004,83.376999,82.879997,83.189003,83.189003
2011-01-07,83.269997,83.657997,82.947998,83.300003,83.300003
2011-01-10,83.069,83.273003,82.728996,83.029999,83.029999
2011-01-11,82.730003,83.483002,82.730003,82.709999,82.709999
2011-01-12,83.355003,83.448997,82.980003,83.339996,83.339996
2011-01-13,83.089996,83.139999,82.566002,83.07,83.07
2011-01-14,82.75,82.970001,82.408997,82.762001,82.762001
2011-01-17,82.889,82.994003,82.348999,82.887001,82.887001
2011-01-18,82.639999,82.791,82.322998,82.669998,82.669998
2011-01-19,82.616997,82.678001,82.009003,82.612,82.612
2011-01-20,82.139999,83.040001,82.040001,82.154999,82.154999
2011-01-21,82.933998,83.079002,82.519997,82.919998,82.919998
2011-01-24,82.580002,82.910004,82.419998,82.585999,82.585999
2011-01-25,82.535004,82.642998,82.272003,82.542,82.542
2011-01-26,82.259003,82.314003,81.988998,82.260002,82.260002
2011-01-27,82.160004,83.158997,82.025002,82.163002,82.163002
2011-01-28,82.887001,82.889999,82.129997,82.885002,82.885002
2011-01-31,82.097,82.231003,81.93,82.088997,82.088997
2011-02-01,82.086998,82.133003,81.470001,82.07,82.07
2011-02-02,81.389999,81.613998,81.349998,81.390999,81.390999
2011-02-03,81.494003,82.043999,81.494003,81.492996,81.492996
2011-02-04,81.656998,81.974998,81.489998,81.650002,81.650002
2011-02-07,82.220001,82.458,82.150002,82.220001,82.220001
2011-02-08,82.297997,82.358002,81.767998,82.289001,82.289001
2011-02-09,82.269997,82.649002,82.249001,82.303001,82.303001
2011-02-10,82.400002,83.268997,82.360001,82.418999,82.418999
2011-02-11,83.339996,83.662003,83.230003,83.339996,83.339996
2011-02-14,83.419998,83.487,83.098999,83.444,83.444
2011-02-15,83.400002,83.907997,83.193001,83.413002,83.413002
2011-02-16,83.720001,83.955002,83.580002,83.716003,83.716003
2011-02-17,83.612999,83.666,83.155998,83.610001,83.610001
2011-02-18,83.287003,83.494003,83.207001,83.290001,83.290001
2011-02-21,83.106003,83.258003,83.040001,83.080002,83.080002
2011-02-22,83.069,83.401001,82.786003,83.066002,83.066002
2011-02-23,82.773003,82.870003,82.510002,82.760002,82.760002
2011-02-24,82.449997,82.449997,81.649002,82.438004,82.438004
2011-02-25,82.019997,82.023003,81.650002,82.046997,82.046997
2011-02-28,81.620003,81.919998,81.599998,81.622002,81.622002
2011-03-01,81.874001,82.220001,81.830002,81.873001,81.873001
2011-03-02,81.898003,82.099998,81.599998,81.898003,81.898003
2011-03-03,81.809998,82.362,81.718002,81.828003,81.828003
2011-03-04,82.360001,82.910004,82.236,82.366997,82.366997
2011-03-07,82.349998,82.382004,81.93,82.343002,82.343002
2011-03-08,82.297997,82.843002,82.200996,82.292,82.292
2011-03-09,82.809998,82.922997,82.610001,82.800003,82.800003
2011-03-10,82.831001,83.160004,82.691002,82.833,82.833
2011-03-11,82.889,83.279999,81.780998,82.917999,82.917999
2011-03-14,81.300003,82.370003,81.300003,81.283997,81.283997
2011-03-15,81.839996,81.910004,80.739998,81.82,81.82
2011-03-16,81.010002,81.153999,80.220001,81.056,81.056
2011-03-17,79.088997,79.709999,78.25,79.127998,79.127998
